country,phenomena_count,max_observed_mag,doublet_count,years_span,annual_rate,prob_1y,prob_5y,prob_10y,b_value,mag_p10_exceedance
Mozambique,4,6.22,0,159.0,0.025157232704402517,0.024843426531532042,0.11819661164499196,0.2224227842856269,1.042324686547847,6.95939395171765
Barbados,4,6.5,0,159.0,0.025157232704402517,0.024843426531532042,0.11819661164499196,0.2224227842856269,1.042324686547847,6.95939395171765
Democratic Republic of the Congo,4,6.8,0,159.0,0.025157232704402517,0.024843426531532042,0.11819661164499196,0.2224227842856269,1.042324686547847,6.95939395171765
Croatia,4,6.4,1,159.0,0.025157232704402517,0.024843426531532042,0.11819661164499196,0.2224227842856269,1.042324686547847,6.95939395171765
Bangladesh,4,7.14,0,159.0,0.025157232704402517,0.024843426531532042,0.11819661164499196,0.2224227842856269,1.042324686547847,6.95939395171765
American Samoa,4,6.39,0,159.0,0.025157232704402517,0.024843426531532042,0.11819661164499196,0.2224227842856269,1.042324686547847,6.95939395171765
Nevada Earthquake,4,7.1,0,159.0,0.025157232704402517,0.024843426531532042,0.11819661164499196,0.2224227842856269,1.042324686547847,6.95939395171765
Bosnia and Herzegovina,3,6.1,1,159.0,0.018867924528301886,0.018691039471916415,0.09002633790379089,0.17194793429121424,1.042324686547847,6.95939395171765
Arizona,3,6.2,0,159.0,0.018867924528301886,0.018691039471916415,0.09002633790379089,0.17194793429121424,1.042324686547847,6.95939395171765
Bhutan,3,6.43,0,159.0,0.018867924528301886,0.018691039471916415,0.09002633790379089,0.17194793429121424,1.042324686547847,6.95939395171765
Philippines Earthquake,3,8.3,0,159.0,0.018867924528301886,0.018691039471916415,0.09002633790379089,0.17194793429121424,1.042324686547847,6.95939395171765
Burma (Myanmar),3,6.71,0,159.0,0.018867924528301886,0.018691039471916415,0.09002633790379089,0.17194793429121424,1.042324686547847,6.95939395171765
Cabo Verde,3,6.54,0,159.0,0.018867924528301886,0.018691039471916415,0.09002633790379089,0.17194793429121424,1.042324686547847,6.95939395171765
Eritrea,3,6.6,0,159.0,0.018867924528301886,0.018691039471916415,0.09002633790379089,0.17194793429121424,1.042324686547847,6.95939395171765
Mongolia Earthquake,3,8.33,0,159.0,0.018867924528301886,0.018691039471916415,0.09002633790379089,0.17194793429121424,1.042324686547847,6.95939395171765
North Macedonia,3,6.7,1,159.0,0.018867924528301886,0.018691039471916415,0.09002633790379089,0.17194793429121424,1.042324686547847,6.95939395171765
South Africa,3,6.78,0,159.0,0.018867924528301886,0.018691039471916415,0.09002633790379089,0.17194793429121424,1.042324686547847,6.95939395171765
Martinique,3,7.4,0,159.0,0.018867924528301886,0.018691039471916415,0.09002633790379089,0.17194793429121424,1.042324686547847,6.95939395171765
Montenegro,3,6.9,0,159.0,0.018867924528301886,0.018691039471916415,0.09002633790379089,0.17194793429121424,1.042324686547847,6.95939395171765
Thailand,3,6.71,0,159.0,0.018867924528301886,0.018691039471916415,0.09002633790379089,0.17194793429121424,1.042324686547847,6.95939395171765
Zimbabwe,3,7.0,0,159.0,0.018867924528301886,0.018691039471916415,0.09002633790379089,0.17194793429121424,1.042324686547847,6.95939395171765
